2025-07-02 18:31:32.759 | INFO     | oipa_mcp.server:_setup_logging:67 | OIPA MCP Server starting - version 1.0.0
2025-07-02 18:31:32.773 | ERROR    | oipa_mcp.connectors.database:initialize:53 | Failed to initialize database pool: DPI-1047: Cannot locate a 64-bit Oracle Client library: "The specified module could not be found". See https://cx-oracle.readthedocs.io/en/latest/user_guide/installation.html for help
2025-07-02 18:47:50.222 | INFO     | oipa_mcp.server:_setup_logging:67 | OIPA MCP Server starting - version 1.0.0
2025-07-02 18:47:50.241 | INFO     | oipa_mcp.connectors.database:initialize:47 | Using thin mode (no Oracle Client required)
2025-07-02 18:49:12.638 | INFO     | oipa_mcp.server:_setup_logging:67 | OIPA MCP Server starting - version 1.0.0
2025-07-02 18:49:12.654 | INFO     | oipa_mcp.connectors.database:initialize:47 | Using thin mode (no Oracle Client required)
2025-07-02 18:49:12.658 | INFO     | oipa_mcp.connectors.database:initialize:60 | Database pool initialized: 192.168.1.50:1521/oipadev
2025-07-02 18:49:12.728 | DEBUG    | oipa_mcp.connectors.database:execute_query:132 | Query executed successfully, returned 1 rows
2025-07-02 18:49:12.737 | DEBUG    | oipa_mcp.connectors.database:execute_query:132 | Query executed successfully, returned 1 rows
2025-07-02 18:49:12.744 | DEBUG    | oipa_mcp.connectors.database:execute_query:132 | Query executed successfully, returned 1 rows
2025-07-02 18:49:12.749 | DEBUG    | oipa_mcp.connectors.database:execute_query:132 | Query executed successfully, returned 1 rows
2025-07-02 18:49:12.759 | DEBUG    | oipa_mcp.connectors.database:execute_query:132 | Query executed successfully, returned 3 rows
2025-07-02 18:49:12.768 | INFO     | oipa_mcp.connectors.database:close:72 | Database pool closed
2025-07-02 19:02:48.557 | INFO     | oipa_mcp.server:_setup_logging:67 | OIPA MCP Server starting - version 1.0.0
2025-07-02 19:02:48.569 | INFO     | oipa_mcp.connectors.database:initialize:48 | Using thin mode (pure Python, no Oracle Client required)
2025-07-02 19:02:48.572 | INFO     | oipa_mcp.connectors.database:initialize:66 | Async database pool initialized: 192.168.1.50:1521/oipadev
2025-07-02 19:02:48.573 | INFO     | oipa_mcp.connectors.database:initialize:67 | Pool configuration: min=1, max=5
2025-07-02 19:02:48.638 | ERROR    | oipa_mcp.connectors.database:test_connection:223 | Database connection test failed: object AsyncCursor can't be used in 'await' expression
